Datetime,Temperature_35m,Salinity_35m,Temperature_100m,Salinity_100m,Temperature_180m,Salinity_180m,Temperature_300m,Salinity_300m,Temperature_400m,Salinity_400m,Temperature_450m,Salinity_450m
1985-05-14 22:30:00,,,,,,,,,,,,
1985-05-15 00:00:00,,,,,,,,,,,,
1985-05-16 00:00:00,,,,,,,,,,,,
1985-05-17 00:00:00,,,,,,,,,,,,
1985-05-18 00:00:00,,,,,,,,,,,,
1985-05-19 00:00:00,,,,,,,,,,,,
1985-05-20 00:00:00,,,,,,,,,,,,
1985-05-21 00:00:00,,,,,,,,,,,,
1985-05-22 00:00:00,,,,,,,,,,,,
1985-05-23 00:00:00,,,,,,,,,,,,
1985-05-24 00:00:00,,,,,,,,,,,,
1985-05-25 00:00:00,,,,,,,,,,,,
1985-05-26 00:00:00,,,,,,,,,,,,
1985-05-27 00:00:00,,,,,,,,,,,,
1985-05-28 00:00:00,,,,,,,,,,,,
1985-05-29 00:00:00,,,,,,,,,,,,
1985-05-30 00:00:00,,,,,,,,,,,,
1985-05-31 00:00:00,,,,,,,,,,,,
1985-06-01 00:00:00,,,,,,,,,,,,
1985-06-02 00:00:00,,,,,,,,,,,,
1985-06-03 00:00:00,,,,,,,,,,,,
1985-06-04 00:00:00,,,,,,,,,,,,
1985-06-05 00:00:00,,,,,,,,,,,,
1985-06-06 00:00:00,,,,,,,,,,,,
1985-06-07 00:00:00,,,,,,,,,,,,
1985-06-08 00:00:00,,,,,,,,,,,,
1985-06-09 00:00:00,,,,,,,,,,,,
1985-06-10 00:00:00,,,,,,,,,,,,
1985-06-11 00:00:00,,,,,,,,,,,,
1985-06-12 00:00:00,,,,,,,,,,,,
1985-06-13 00:00:00,,,,,,,,,,,,
1985-06-14 00:00:00,,,,,,,,,,,,
1985-06-15 00:00:00,,,,,,,,,,,,
1985-06-16 00:00:00,,,,,,,,,,,,
1985-06-17 00:00:00,,,,,,,,,,,,
1985-06-18 00:00:00,,,,,,,,,,,,
1985-06-19 00:00:00,,,,,,,,,,,,
1985-06-20 00:00:00,,,,,,,,,,,,
1985-06-21 00:00:00,,,,,,,,,,,,
1985-06-22 00:00:00,,,,,,,,,,,,
1985-06-23 00:00:00,,,,,,,,,,,,
1985-06-24 00:00:00,,,,,,,,,,,,
1985-06-25 00:00:00,,,,,,,,,,,,
1985-06-26 00:00:00,,,,,,,,,,,,
1985-06-27 00:00:00,,,,,,,,,,,,
1985-06-28 00:00:00,,,,,,,,,,,,
1985-06-29 00:00:00,,,,,,,,,,,,
1985-06-30 00:00:00,,,,,,,,,,,,
1985-07-01 00:00:00,,,,,,,,,,,,
1985-07-02 00:00:00,,,,,,,,,,,,
1985-07-03 00:00:00,,,,,,,,,,,,
1985-07-04 00:00:00,,,,,,,,,,,,
1985-07-05 00:00:00,,,,,,,,,,,,
1985-07-06 00:00:00,,,,,,,,,,,,
1985-07-07 00:00:00,,,,,,,,,,,,
1985-07-08 00:00:00,,,,,,,,,,,,
1985-07-09 00:00:00,,,,,,,,,,,,
1985-07-10 00:00:00,,,,,,,,,,,,
1985-07-11 00:00:00,,,,,,,,,,,,
1985-07-12 00:00:00,,,,,,,,,,,,
1985-07-13 00:00:00,,,,,,,,,,,,
1985-07-14 00:00:00,,,,,,,,,,,,
1985-07-15 00:00:00,,,,,,,,,,,,
1985-07-16 00:00:00,,,,,,,,,,,,
1985-07-17 00:00:00,,,,,,,,,,,,
1985-07-18 00:00:00,,,,,,,,,,,,
1985-07-19 00:00:00,,,,,,,,,,,,
1985-07-20 00:00:00,,,,,,,,,,,,
1985-07-21 00:00:00,,,,,,,,,,,,
1985-07-22 00:00:00,,,,,,,,,,,,
1985-07-23 00:00:00,,,,,,,,,,,,
1985-07-24 00:00:00,,,,,,,,,,,,
1985-07-25 00:00:00,,,,,,,,,,,,
1985-07-26 00:00:00,,,,,,,,,,,,
1985-07-27 00:00:00,,,,,,,,,,,,
1985-07-28 00:00:00,,,,,,,,,,,,
1985-07-29 00:00:00,,,,,,,,,,,,
1985-07-30 00:00:00,,,,,,,,,,,,
1985-07-31 00:00:00,,,,,,,,,,,,
1985-08-01 00:00:00,,,,,,,,,,,,
1985-08-02 00:00:00,,,,,,,,,,,,
1985-08-03 00:00:00,,,,,,,,,,,,
1985-08-04 00:00:00,,,,,,,,,,,,
1985-08-05 00:00:00,,,,,,,,,,,,
1985-08-06 00:00:00,,,,,,,,,,,,
1985-08-07 00:00:00,,,,,,,,,,,,
1985-08-08 00:00:00,,,,,,,,,,,,
1985-08-09 00:00:00,,,,,,,,,,,,
1985-08-10 00:00:00,,,,,,,,,,,,
1985-08-11 00:00:00,,,,,,,,,,,,
1985-08-12 00:00:00,,,,,,,,,,,,
1985-08-13 00:00:00,,,,,,,,,,,,
1985-08-14 00:00:00,,,,,,,,,,,,
1985-08-15 00:00:00,,,,,,,,,,,,
1985-08-16 00:00:00,,,,,,,,,,,,
1985-08-17 00:00:00,,,,,,,,,,,,
