station,latitude,longitude,water_depth,years_active
2,70.59,-133,3.5,1987
3,69.59,-133,5,1987
4,70.08333333,-133.5331667,32,1987
5,70.08333333,-133.2163333,26.3,1987
7,70.061,-133.5953333,32,1987
90-00C-001,43.86138333,-78.71361117,11,1990
90-00C-002,43.8375,-78.71055,27.6,1990
90-00C-003,43.8375,-78.71055,44.3,1990
90-00C-004,43.80166667,-78.704,60.6,1990
90-00C-005,43.78388333,-78.70166667,73.5,1990
90-00C-006,43.73683333,-78.69028333,87.5,1990
A,48.68883333,-123.4908333,88,1978
A001,48.98,-125.0766667,-1,1970
A002,48.95166667,-125.0383333,-1,1970
A003,48.85833333,-125.1466667,-1,1970
A004,49.23333333,-124.8133333,-1,1970|1971
A005,49.22833333,-124.8233333,-1,1970
A01,72.62,-143.5683333,3300,1990|1991|1992|1993
A011,49.185,-124.8183333,-1,1971
A021,49.10666667,-124.8233333,-1,1971
A022,49.10666667,-124.8216667,-1,1971
A023,49.10833333,-124.82,-1,1971
A024,49.105,-124.82,-1,1971
A025,49.10666667,-124.8183333,-1,1971
A031,49.03,-124.86,-1,1971
A032,49.03,-124.8533333,-1,1971
A041,48.95166667,-124.99,-1,1971
A042,48.94833333,-124.9866667,-1,1971
A051,48.94666667,-125.0633333,-1,1971
A052,48.95666667,-125.0633333,-1,1971
A061,48.89333333,-125.08,-1,1971
A062,48.89,-125.0783333,-1,1971
A071,48.98166667,-124.97,-1,1971
A072,48.98166667,-124.9566667,-1,1971
A073,48.99166667,-124.8933333,-1,1971
A074,49.025,-124.855,-1,1971
A1,48.53821667,-126.1955567,507,1976|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021
A2,47.96666667,-129.0883333,2221,1976|1985|1986|1987|1997|1998|1999
A3,47.94,-129.1033333,2258,1976|1985|1986
A4,75.50333333,-103.0166667,242,1976
A5,75.525,-102.82,56,1976
AB01,48.85166667,-125.5816667,44,1988
AG0050,70.755,-131.075,49,1986|1987
AG0200,71.29666667,-131.4856667,181,1986|1987
AL01,48.37166667,-123.4566667,-1,1975
AM1-91,70.54883333,-140.0271667,713,1991|1992
AM2-91,71.36866667,-141.7056667,2715,1991|1992
ANITA,70.76666667,-127.3433333,196,1987|1988
ARNAK,69.80166667,-133.8316667,7.6,1985
AS01,49.00666667,-123.42,312,1989|1990
AS02,48.86333333,-123.2083333,215,1989|1990
AS03,48.75083333,-123.1233333,150,1989|1990
AS04,48.30966667,-123.3033333,90,1989|1990
AT1,70.57665,-127.6603,-1,2017|2018|2019|2020
AT2,70.681083,-126.871333,-1,2017|2018|2019|2020
AT3,70.200917,-123.157833,-1,2018|2019|2020
Adlartok,69.632,-137.783,65,1985
Aiverk,70.418,-133.75,60,1984
Alerk,69.91716667,-132.7,12,1981
Alison,51.16835,-127.1004,154,2002|2003
Alison Sd,51.16836667,-127.1009333,154,2003
Alison Sou,51.16836667,-127.1009333,154,2003
Amauligak O-86,70.097,-133.9241667,-1,1988
Amerk,69.95133333,-133.5088333,23,1984
Arluk,70.35,-135.442,59,1983|1984
Arnak,69.80166667,-133.8333333,8,1985|1986
B,48.67166667,-123.501,144,1978
B003,69.92166667,-139.3883333,53,1975|1976
B004,69.69833333,-137.1533333,43,1974
B005,70.40166667,-136.7616667,67,1975
B008,71.215,-131.3316667,77,1975
B009,70.72833333,-131.245,45,1975
B010,71.31,-128.9083333,56,1975
B011,71.04166667,-128.525,28,1974|1975
B013,70.13166667,-134.3316667,33,1975
B015,70.28833333,-133.5883333,54,1975
B03,49.63333333,-128.6933333,2342,1979|1980
B1,48.75,-125.5683333,145,1976|1985|1986|1987|1988|1989|1990
B2,75.50333333,-105.145,87,1976
B4,75.44833333,-104.9566667,150,1976
B5,75.425,-104.63,46,1976
B515,69.25833333,-138.475,-1,1975
BC WASP,48.41463333,-125.9472833,239,1998
BC-WASP,48.415,-125.9468333,240,1997
BC01,48.39893333,-125.9119333,402,1997|1998
BC02,48.3715,-125.9758333,550,1997|1998
BC03,48.35133333,-125.9356667,542,1997|1998|1999
BG1,48.88216667,-125.2413333,99999,1988
BLACK,70.546,-127.8216667,19.26,1987
BLUE,70.546,-127.8216667,17.91,1987
BNP,50.85333333,-127.6466667,-1,1983
BP1,50.059345,-127.8912433,106,1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2011|2012|2013|2016|2017|2018|2019
BP2,50.04511667,-127.9242167,398,2010|2011|2012|2013
BS42,74.57,-94.02,129,1984|1985
BS46,74.20833333,-93.78,162,1984
BSS2,48.87333333,-125.2533333,99999,1988|1989
BU01,49.32333333,-123.2766667,-1,1975
BVN01,48.65,-123.4,-1,1997
